Name, Address, Failed inspection on, Alive for x years
JIMMY JOHNS,201 W MADISON ST ,2010-04-08T00:00:00.000,8
CAFECITO,26 E CONGRESS PKWY ,2010-04-08T00:00:00.000,9
METROPOLITAN CLUB,233 S WACKER DR ,2010-04-09T00:00:00.000,8
Custom House,500 S DEARBORN ST ,2010-04-13T00:00:00.000,4
THE DRUM & MONKEY,1435 W TAYLOR ST ,2010-04-14T00:00:00.000,10
AMARIT RESTAURANT,600 S DEARBORN ST ,2010-04-16T00:00:00.000,9
LAGNIAPPE-A CREOLE CAJUN JOYNT,55 W RIVERWALK SOUTH ,2010-04-19T00:00:00.000,2
POTBELLY SANDWICH WORKS LLC,542 S Dearborn ST ,2010-04-20T00:00:00.000,9
THE BAR 10 DOORS,1251-1259 W TAYLOR ST ,2010-04-20T00:00:00.000,10
THE BAR 10 DOORS,1251-1259 W TAYLOR ST ,2010-04-20T00:00:00.000,10
JIMMY GREEN'S,825 S STATE ST ,2010-04-29T00:00:00.000,8
JIMMY GREEN'S,825 S STATE ST ,2010-04-29T00:00:00.000,8
ARAMARK,1300 S LYNN WHITE DR ,2010-05-06T00:00:00.000,6
ARAMARK,1300 S LYNN WHITE DR ,2010-05-06T00:00:00.000,6
ARAMARK,1300 S LYNN WHITE DR ,2010-05-06T00:00:00.000,6
URBAN KITCHEN,100 S WACKER DR ,2010-05-14T00:00:00.000,2
BOMBAY WRAPS,122 N WELLS ST ,2010-05-17T00:00:00.000,8
JIMMY JOHNS,216 W JACKSON BLVD ,2010-05-18T00:00:00.000,8
PAZZO'S CUCINA ITALIANA,100 S WACKER DR ,2010-05-24T00:00:00.000,7
TAQUERIA LA LAGARTIJA,132 S ASHLAND AVE ,2010-05-26T00:00:00.000,8
JIMMY JOHN'S,205 W MONROE ST ,2010-06-03T00:00:00.000,9
PANERA BREAD  # 1190,250 S WACKER DR ,2010-06-09T00:00:00.000,9
GIRL & THE GOAT,809-813 W RANDOLPH ST ,2010-06-10T00:00:00.000,8
GIRL & THE GOAT,809-813 W RANDOLPH ST ,2010-06-10T00:00:00.000,8
Peppers,211 W VAN BUREN ST ,2010-06-14T00:00:00.000,2
M.H.R.,L.L.C.,30 E LAKE ST ,2010-06-14T00:00:00.000,4
SUBWAY,166 N WABASH AVE ,2010-06-14T00:00:00.000,10
PALM RESTAURANT,323 E WACKER DR ,2010-06-15T00:00:00.000,8
SWEET MAPLE CAFE,1339 W TAYLOR ST ,2010-06-18T00:00:00.000,8
XANDO COFFEE & BAR / COSI SANDWICH BAR,230 W WASHINGTON ST ,2010-06-21T00:00:00.000,8
FAT EDDIE'S EMPLOYEE CAFETERIA,151 E WACKER DR ,2010-06-21T00:00:00.000,8
MEZZA GRILLED WRAPS AND PITA, INC,2 N RIVERSIDE PLZ ,2010-06-21T00:00:00.000,9
STETSON'S,151 E WACKER DR ,2010-06-21T00:00:00.000,8
HAIFA CAFE,19 N WELLS ST ,2010-06-22T00:00:00.000,2
WABASH TAP,1233 S WABASH AVE ,2010-06-23T00:00:00.000,8
TASTE AMERICA CATERING,1 S WACKER DR ,2010-06-28T00:00:00.000,2
GIOCO,1312 -1314 S WABASH AVE ,2010-07-07T00:00:00.000,8
ORGANICLIFE,211 N STETSON AVE ,2010-07-07T00:00:00.000,2
AVANTI CAFFE,200 W JACKSON BLVD ,2010-07-07T00:00:00.000,8
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST ,2010-07-13T00:00:00.000,6
CHICAGO RIVERWALK CAFE,117 W RIVERWALK SOUTH ,2010-07-13T00:00:00.000,2
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST ,2010-07-13T00:00:00.000,6
CHICAGO RIVERWALK CAFE,117 W RIVERWALK SOUTH ,2010-07-13T00:00:00.000,2
CHICAGO RIVERWALK CAFE,117 W RIVERWALK SOUTH ,2010-07-15T00:00:00.000,2
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2010-07-15T00:00:00.000,9
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2010-07-15T00:00:00.000,9
KAIYO,60 E LAKE ST ,2010-07-22T00:00:00.000,2
MILLER'S PUB & RESTAURANT,134 S WABASH AVE ,2010-07-22T00:00:00.000,10
McDONALD'S,225 S CANAL ST ,2010-07-28T00:00:00.000,10
BAR LOUIE,47 W POLK ST ,2010-07-29T00:00:00.000,9
PANERA BREAD #987,1101 S CANAL ST ,2010-07-29T00:00:00.000,9
BAR LOUIE,47 W POLK ST ,2010-07-29T00:00:00.000,9
STARBUCKS COFFEE #203,150 N WACKER DR ,2010-08-02T00:00:00.000,9
DUNKIN DONUTS,203 N LA SALLE ST ,2010-08-02T00:00:00.000,10
TRI STAR CATERING,150 S WACKER DR ,2010-08-04T00:00:00.000,6
POTBELLY SANDWICH WORKS LLC,150 S WACKER DR ,2010-08-04T00:00:00.000,9
THE TOWER CLUB,20 N WACKER DR ,2010-08-04T00:00:00.000,2
DUNKIN DOUNUTS / BASKIN ROBINS,75 E WASHINGTON ST ,2010-08-05T00:00:00.000,10
OASIS CAFE #2,405 S WELLS ST ,2010-08-06T00:00:00.000,2
BURRITO BUGGY,206 W VAN BUREN ST ,2010-08-06T00:00:00.000,6
HOULIHAN'S,111 E WACKER DR ,2010-08-06T00:00:00.000,6
STARBUCKS COFFEE #211,227 W MONROE ST ,2010-08-12T00:00:00.000,9
PLUSH-CHICAGO,1104 W MADISON ST ,2010-08-13T00:00:00.000,2
1104 WABASH,1104 S WABASH AVE ,2010-08-16T00:00:00.000,3
FRESHII,111 W JACKSON BLVD ,2010-08-16T00:00:00.000,9
THAI BOWL,1049 W TAYLOR ST ,2010-08-17T00:00:00.000,8
CHIPOTLE MEXICAN GRILL,235 W LAKE ST ,2010-08-17T00:00:00.000,9
SWEETWATER,225 N MICHIGAN AVE ,2010-08-17T00:00:00.000,8
Le Peep Restaurant,1010 W WASHINGTON BLVD ,2010-08-20T00:00:00.000,2
CHICAGO BEEF, BURGER & DOGS,17 S WABASH AVE ,2010-08-23T00:00:00.000,4
DELI-TIME, L.L.C.,333 W WACKER DR ,2010-08-24T00:00:00.000,4
JAFFA BAKERY,105 W MADISON ST ,2010-08-25T00:00:00.000,2
HEAVEN ON SEVEN,111 N WABASH AVE ,2010-08-26T00:00:00.000,8
EXCHEQUER RESTAURANT,224-226 S WABASH AVE ,2010-08-26T00:00:00.000,10
KINDERCARE LEARNING CENTER,1463 S STATE ST ,2010-08-31T00:00:00.000,4
Bacci Pizza Dearborn,409-411 S Dearborn ST ,2010-09-01T00:00:00.000,4
McDONALD'S,29 N WACKER DR ,2010-09-02T00:00:00.000,10
BURRITO BEACH,19 S LA SALLE ST ,2010-09-03T00:00:00.000,10
1104 WABASH,1104 S WABASH AVE ,2010-09-03T00:00:00.000,3
W CHICAGO CITY CENTER,172 W ADAMS ST ,2010-09-03T00:00:00.000,3
JAMBA JUICE COMPANY,209 W JACKSON BLVD ,2010-09-03T00:00:00.000,2
Bacci Pizza Dearborn,409-411 S Dearborn ST ,2010-09-08T00:00:00.000,4
AM/PM,1221-1223 S Wabash AVE ,2010-09-08T00:00:00.000,1
65 ASIAN KITCHKEN,111 W JACKSON BLVD ,2010-09-10T00:00:00.000,6
XSPORT FITNESS,819 S STATE ST ,2010-09-13T00:00:00.000,10
S & S Restaurant,823 W RANDOLPH ST ,2010-09-13T00:00:00.000,2
HAROLD'S CHICKEN SHACK,636 S WABASH AVE ,2010-09-14T00:00:00.000,8
AFC SUSHI @JEWEL-OSCO #3345,1224 S WABASH AVE ,2010-09-15T00:00:00.000,9
LITTTLE BRANCH CAFE, INC.,1251 S PRAIRIE AVE ,2010-09-16T00:00:00.000,3
JASON'S DELI,1258 S CANAL ST ,2010-09-16T00:00:00.000,8
POCKETS,1009 W MADISON ST ,2010-09-17T00:00:00.000,8
