Name, Address, Failed inspection on, Alive for x years
BABA'S VILLAGE,310 S CANAL ST ,2011-05-27T00:00:00.000,7
MEZZA,181 W Madison ST BLDG ,2011-06-02T00:00:00.000,7
JAFFA BAKERY,105 W MADISON ST ,2011-06-02T00:00:00.000,1
TRIPLE I RESTAURANT,177 N STATE ST ,2011-06-03T00:00:00.000,1
PITA HEAVEN,1250 S MICHIGAN AVE ,2011-06-06T00:00:00.000,9
FLO & SANTO,1310 S WABASH AVE ,2011-06-06T00:00:00.000,7
JAFFA BAKERY,105 W MADISON ST ,2011-06-07T00:00:00.000,1
SOPRAFFINA MARKETCAFFE,200 E RANDOLPH ST ,2011-06-10T00:00:00.000,7
DRAGONFLY MANDARIN,832 W RANDOLPH ST ,2011-06-14T00:00:00.000,3
SUSHI PINK,909 W WASHINGTON BLVD ,2011-06-16T00:00:00.000,7
PIZANO,61 E MADISON ST ,2011-06-16T00:00:00.000,5
SHORE EGG CO,1135 W FULTON MARKET ,2011-06-17T00:00:00.000,3
OYSY,888 S MICHIGAN AVE ,2011-06-17T00:00:00.000,3
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,2011-06-30T00:00:00.000,7
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,2011-06-30T00:00:00.000,7
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,2011-06-30T00:00:00.000,7
ALONTI DELI,401 S LA SALLE ST ,2011-07-06T00:00:00.000,7
STARBUCKS COFFEE #15683,8 N MICHIGAN AVE ,2011-07-07T00:00:00.000,7
CHICAGO RIVERWALK CAFE,117 W RIVERWALK SOUTH ,2011-07-07T00:00:00.000,1
FLAVOR 180,1511 S STATE ST ,2011-07-07T00:00:00.000,4
RONNY'S ORIGINAL STEAK HOUSE,100 W RANDOLPH ST ,2011-07-07T00:00:00.000,7
AU BON PAIN,125 S WACKER DR ,2011-07-11T00:00:00.000,7
TAVERN AT THE PARK,130 E RANDOLPH ST ,2011-07-12T00:00:00.000,7
MA&I,1234 S MICHIGAN AVE ,2011-07-15T00:00:00.000,5
METROPOLITAN CLUB,233 S WACKER DR ,2011-07-19T00:00:00.000,7
IT TAKES A VILLAGE AT RIVER CITY,800 S WELLS ST ,2011-07-25T00:00:00.000,7
PONTE FRESCO,225 N MICHIGAN AVE ,2011-07-27T00:00:00.000,1
ORGANICLIFE,211 N STETSON AVE ,2011-07-28T00:00:00.000,1
POLK STREET CO.,548 W POLK ST ,2011-07-29T00:00:00.000,7
FRESH CHIOCE,233 N MICHIGAN AVE ,2011-08-02T00:00:00.000,1
GATEWAY NEWSSTAND,180 N STATE ST ,2011-08-02T00:00:00.000,3
Custom House,500 S DEARBORN ST ,2011-08-03T00:00:00.000,3
PITTSFIELD CAFE,55 E WASHINGTON ST ,2011-08-05T00:00:00.000,9
GATEWAY NEWSTANDS,108 N STATE ST ,2011-08-08T00:00:00.000,9
Galileo's,1300 S LAKE SHORE DR ,2011-08-08T00:00:00.000,7
DUNKIN DONUTS,201 W MADISON ST ,2011-08-11T00:00:00.000,9
SUNRISE MARKET,1340 W MADISON ST ,2011-08-15T00:00:00.000,2
BUBBLE NET,1200 S LAKE SHORE DR ,2011-08-15T00:00:00.000,8
HIGHRISE BAKING COMPANY,1438 W FULTON ST ,2011-08-18T00:00:00.000,1
PROTEIN BAR,221 W WASHINGTON ST ,2011-08-22T00:00:00.000,9
BANH MI EXPRESS SANDWISH,105 W MADISON ST ,2011-08-26T00:00:00.000,2
INTELLIGENTSIA COFFEE & TEA INC.,53 W JACKSON BLVD ,2011-08-29T00:00:00.000,7
CORNER BAKERY CAFE,35 E MONROE ST ,2011-08-29T00:00:00.000,7
WOW BAO,175 W JACKSON BLVD ,2011-09-01T00:00:00.000,8
SUBWAY,1212 S MICHIGAN AVE ,2011-09-02T00:00:00.000,9
J V ENTERPRISES INC,60 W ADAMS ST ,2011-09-02T00:00:00.000,3
ALONTI DELI,300 S RIVERSIDE PLZ ,2011-09-06T00:00:00.000,7
SOUTH LOOP MONTESSORI SCHOOL,47 W POLK ST ,2011-09-08T00:00:00.000,7
McDONALD'S,225 S CANAL ST ,2011-09-09T00:00:00.000,9
COCO'S FAMOUS FRIED LOBSTER,426 S CLARK ST ,2011-09-12T00:00:00.000,7
LA SIRENA CLANDESTINA,954 W FULTON MARKET ,2011-09-12T00:00:00.000,7
ALHAMBRA PALACE RESTAURANT,1240 W RANDOLPH ST ,2011-09-16T00:00:00.000,7
SBARRO,100 W RANDOLPH ST ,2011-09-20T00:00:00.000,9
FLAT TOP GRILL,1000 W WASHINGTON BLVD ,2011-09-20T00:00:00.000,7
KARYN'S ON GREEN,130 S GREEN ST ,2011-09-21T00:00:00.000,5
WOW BAO,175 W JACKSON BLVD ,2011-09-21T00:00:00.000,8
The Buckingham Athletic Club,440 S LA SALLE ST ,2011-09-23T00:00:00.000,7
SILK ROAD LASALLE,19 S LA SALLE ST ,2011-09-23T00:00:00.000,7
WILDBERRY PANCAKES & CAFE,130 E RANDOLPH ST ,2011-09-26T00:00:00.000,8
PANERA BREAD #987,1101 S CANAL ST ,2011-09-26T00:00:00.000,8
623 WABASH,623 S WABASH AVE ,2011-09-26T00:00:00.000,4
BABA PITA,1032 W LAKE ST ,2011-09-26T00:00:00.000,5
AL'S BEEF,28-32 E JACKSON BLVD ,2011-10-03T00:00:00.000,7
PINKYS RESTAURANT,100 W RANDOLPH ST ,2011-10-03T00:00:00.000,7
SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE ,2011-10-04T00:00:00.000,8
CHINA NIGHT CAFE,1140 W TAYLOR ST ,2011-10-05T00:00:00.000,9
CARIBOU COFFEE CO. INC.,800 S WABASH AVE ,2011-10-06T00:00:00.000,5
DISCOVERY DAYS LEARNING ACADEMY, INCORPORATED,1417 W TAYLOR ST ,2011-10-06T00:00:00.000,4
POTBELLY SANDWICH WORKS # 100,209 S LA SALLE ST ,2011-10-07T00:00:00.000,8
W CHICAGO CITY CENTER,172 W ADAMS ST ,2011-10-07T00:00:00.000,2
URBAN KITCHEN,100 S WACKER DR ,2011-10-07T00:00:00.000,1
ANNA'S ASIAN BISTRO,813 W LAKE ,2011-10-25T00:00:00.000,4
ARBYS,100 W RANDOLPH ST ,2011-10-26T00:00:00.000,7
THE GREAT STATE FARE,100 W RANDOLPH ST ,2011-10-26T00:00:00.000,4
NEW ORLEANS KITCHEN,100 W RANDOLPH ST ,2011-10-26T00:00:00.000,7
THE GREAT STATE FARE,100 W RANDOLPH ST ,2011-10-26T00:00:00.000,4
ORGANICLIFE,211 N STETSON AVE ,2011-11-01T00:00:00.000,1
MIXED GREEN,223 W LAKE ST ,2011-11-04T00:00:00.000,5
SUSHI PINK,909 W WASHINGTON BLVD ,2011-11-08T00:00:00.000,7
Hard Rock Hotel,224-230 N MICHIGAN AVE ,2011-11-09T00:00:00.000,3
CORNER BAKERY CAFE,222 S RIVERSIDE PLZ ,2011-11-18T00:00:00.000,7
PANDA EXPRESS #591,209 W JACKSON BLVD ,2011-11-29T00:00:00.000,9
NATIVE FOODS CAFE,218 S CLARK ST ,2011-11-30T00:00:00.000,9
NATIVE FOODS CAFE,218 S CLARK ST ,2011-11-30T00:00:00.000,9
URBAN UNION,1421 W TAYLOR ,2011-12-01T00:00:00.000,3
URBAN UNION,1421 W TAYLOR ,2011-12-01T00:00:00.000,3
OYSY,888 S MICHIGAN AVE ,2011-12-06T00:00:00.000,3
JASON'S DELI,1258 S CANAL ST ,2011-12-07T00:00:00.000,7
PANERA BREAD # 8003,600 W VAN BUREN ST ,2011-12-12T00:00:00.000,8
WHOLLY INNOCENTS DAYCARE CENTER.,34 N Sangamon ST ,2011-12-15T00:00:00.000,7
WALGREENS #15196,151 N STATE ST ,2011-12-29T00:00:00.000,7
WALGREENS #15196,151 N STATE ST ,2011-12-29T00:00:00.000,7
BELDEN'S 3RD FLOOR DELI,5 S WABASH AVE ,2011-12-29T00:00:00.000,3
WALGREENS #15196,151 N STATE ST ,2011-12-29T00:00:00.000,7
KCG OF CHICAGO UNION STATION,225 S CANAL ST ,2011-12-30T00:00:00.000,7
KCG OF CHICAGO UNION STATION,225 S CANAL ST ,2012-01-03T00:00:00.000,6
CORNER BAKERY CAFE,233 S WACKER DR ,2012-01-03T00:00:00.000,6
PANERA BREAD #987,1101 S CANAL ST ,2012-01-12T00:00:00.000,7
HOLIDAY INN SUITES,506 W HARRISON ST ,2012-01-12T00:00:00.000,6
DELMONICO,111 W WASHINGTON ST ,2012-01-19T00:00:00.000,8
BELLA! BACINO'S,75 E WACKER DR ,2012-01-23T00:00:00.000,6
PIZANO,61 E MADISON ST ,2012-01-25T00:00:00.000,4
Custom House,500 S DEARBORN ST ,2012-01-31T00:00:00.000,2
MACY'S,111 N STATE ST ,2012-02-03T00:00:00.000,8
SPARROW COFFEE ROASTERY,1201 W LAKE ST ,2012-02-06T00:00:00.000,6
ARBYS,100 W RANDOLPH ST ,2012-02-07T00:00:00.000,6
Yang,28 E ROOSEVELT RD ,2012-02-10T00:00:00.000,2
PRET A MANGER,225 N MICHIGAN AVE FL ,2012-02-16T00:00:00.000,6
XANDO COFFEE & BAR / COSI SANDWICH BAR,203 N LA SALLE ST ,2012-02-17T00:00:00.000,6
Halsted Street Deli,177 N State ST ,2012-02-24T00:00:00.000,6
SUBWAY,66 E WASHINGTON ST ,2012-03-06T00:00:00.000,8
DELMONICO'S GOURMET,233 N MICHIGAN AVE ,2012-03-07T00:00:00.000,2
POTBELLY SANDWICH WORKS LLC,190 N STATE ST ,2012-03-09T00:00:00.000,7
COSI,233 N MICHIGAN AVE ,2012-03-14T00:00:00.000,6
The Westminster Hot Dog,1045 W MADISON ST ,2012-03-20T00:00:00.000,3
BENNIGAN'S #1426,150 S MICHIGAN AVE ,2012-03-28T00:00:00.000,2
JAFFA BAKERY,105 W MADISON ST ,2012-04-02T00:00:00.000,0
JAFFA BAKERY,105 W MADISON ST ,2012-04-02T00:00:00.000,0
YOLK,1120 S MICHIGAN AVE ,2012-04-04T00:00:00.000,6
QUIZNOS SUB,70 E MADISON ST ,2012-04-06T00:00:00.000,2
JAFFA BAKERY,105 W MADISON ST ,2012-04-10T00:00:00.000,0
BANH MI EXPRESS SANDWISH,105 W MADISON ST ,2012-04-10T00:00:00.000,1
RADISSON BLU AQUA,221 N COLUMBUS DR ,2012-04-12T00:00:00.000,7
JASON'S DELI,1258 S CANAL ST ,2012-04-17T00:00:00.000,6
FALAFILL,72 E ADAMS ST ,2012-04-17T00:00:00.000,2
HAIFA CAFE,19 N WELLS ST ,2012-04-17T00:00:00.000,0
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST ,2012-04-19T00:00:00.000,4
MEZE,205-209 N Peoria ST ,2012-04-24T00:00:00.000,0
MEZE,205-209 N Peoria ST ,2012-04-24T00:00:00.000,0
TUSCANY RESTAURANT,1014-1018 W TAYLOR ST ,2012-04-25T00:00:00.000,8
URBAN KITCHEN,100 S WACKER DR ,2012-04-26T00:00:00.000,0
ALONTI CAFE,1 N FRANKLIN ST ,2012-04-26T00:00:00.000,2
ALHAMBRA PALACE RESTAURANT,1240 W RANDOLPH ST ,2012-04-30T00:00:00.000,6
MAGNOLIA BAKERY,108 N STATE ST ,2012-05-02T00:00:00.000,7
THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE ,2012-05-03T00:00:00.000,6
EPPYS CAFE & DELI,162 N FRANKLIN ST ,2012-05-10T00:00:00.000,0
Subway,1236 S CANAL ST ,2012-05-11T00:00:00.000,0
GLAZED AND INFUSED,813 W FULTON MARKET ,2012-05-15T00:00:00.000,5
1154 FULTON MARKET,1154 W FULTON MARKET ,2012-05-15T00:00:00.000,4
ARAMARK,1300 S LYNN WHITE DR ,2012-05-25T00:00:00.000,4
LITTTLE BRANCH CAFE, INC.,1251 S PRAIRIE AVE ,2012-05-29T00:00:00.000,1
LITTTLE BRANCH CAFE, INC.,1251 S PRAIRIE AVE ,2012-05-29T00:00:00.000,1
LITTTLE BRANCH CAFE, INC.,1251 S PRAIRIE AVE ,2012-05-29T00:00:00.000,1
SOPRAFFINA MARKET CAFE,111 E WACKER DR ,2012-06-04T00:00:00.000,6
DELMONICO,111 W WASHINGTON ST ,2012-06-06T00:00:00.000,8
ARAMARK,1300 S LYNN WHITE DR ,2012-06-08T00:00:00.000,4
MACY'S,111 N STATE ST ,2012-06-11T00:00:00.000,8
Halsted Street Deli,177 N State ST ,2012-06-12T00:00:00.000,6
FRESHII,311 S WACKER DR ,2012-06-18T00:00:00.000,7
FRANCESCA'S ON TAYLOR,1400 W TAYLOR ST ,2012-06-28T00:00:00.000,6
PRAHEM INC.,8 S MICHIGAN AVE ,2012-07-02T00:00:00.000,2
WHITE PALACE GRILL,1159 S CANAL ST ,2012-07-09T00:00:00.000,6
TRAVEL TRADERS #534,151 E WACKER DR FL ,2012-07-09T00:00:00.000,7
WILDBERRY PANCAKES & CAFE,130 E RANDOLPH ST ,2012-07-09T00:00:00.000,7
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE ,2012-07-10T00:00:00.000,2
ROLY POLY,29 S LA SALLE ST ,2012-07-10T00:00:00.000,2
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE ,2012-07-10T00:00:00.000,2
NESH MEDITERRANEAN GRILL,205 W MONROE ST ,2012-07-10T00:00:00.000,6
ROLY POLY,29 S LA SALLE ST ,2012-07-10T00:00:00.000,2
JAMBA JUICE COMPANY,209 W JACKSON BLVD ,2012-07-11T00:00:00.000,0
ARAMARK,1300 S LYNN WHITE DR ,2012-07-17T00:00:00.000,4
GATEWAY NEWSTAND,33 W MONROE ST FL ,2012-07-18T00:00:00.000,8
MARKET CREATIONS,233 S WACKER DR ,2012-07-20T00:00:00.000,8
PRET A MANGER,225 N MICHIGAN AVE FL ,2012-07-23T00:00:00.000,6
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE ,2012-07-24T00:00:00.000,2
MAX'S TAKE OUT,20 E ADAMS ST ,2012-07-24T00:00:00.000,8
AMERICA'S DOG,21 E ADAMS ST ,2012-07-31T00:00:00.000,6
STARBUCKS,10 S DEARBORN ST FL ,2012-08-03T00:00:00.000,8
MRS. FIELDS COOKIES,242 S STATE ST ,2012-08-06T00:00:00.000,3
CHIPOTLE MEXICAN GRILL,316 N MICHIGAN AVE ,2012-08-09T00:00:00.000,7
EPIC BURGER,517 S STATE ST ,2012-08-10T00:00:00.000,6
POTBELLY SANDWICH WORKS # 100,209 S LA SALLE ST ,2012-08-13T00:00:00.000,7
CELLARS MARKET,141 W JACKSON BLVD ,2012-08-14T00:00:00.000,8
Chartwells @ DePaul University,1 E JACKSON BLVD ,2012-08-15T00:00:00.000,8
AL'S BEEF,28-32 E JACKSON BLVD ,2012-08-15T00:00:00.000,6
PRET A MANGER,73 W MONROE ST ,2012-08-16T00:00:00.000,6
JAMBA JUICE,1322 S HALSTED ST ,2012-08-16T00:00:00.000,3
JTA SCHOOLS,1255 S STATE ST ,2012-08-20T00:00:00.000,5
SUBWAY #3333,62 E JACKSON BLVD ,2012-08-24T00:00:00.000,8
CONFECTION CONNECTION TOO,316 S DEARBORN ST ,2012-08-28T00:00:00.000,1
NATIVE FOODS CAFE,218 S CLARK ST ,2012-08-29T00:00:00.000,8
ROOM 12,1152 S WABASH AVE ,2012-08-29T00:00:00.000,6
CHIPOTLE MEXICAN GRILL,10 E JACKSON BLVD ,2012-08-29T00:00:00.000,7
RUBY OF SIAM,170 W WASHINGTON ST ,2012-08-30T00:00:00.000,4
ARTISTS CAFE,1150 S WABASH AVE ,2012-09-04T00:00:00.000,7
GATEWAY,161 N CLARK ST ,2012-09-06T00:00:00.000,6
PANERA BREAD #987,1101 S CANAL ST ,2012-09-07T00:00:00.000,7
JAMBA JUICE,225 S CANAL ST ,2012-09-10T00:00:00.000,3
O'VIE BAR AND GRILL,120 N CANAL ST ,2012-09-11T00:00:00.000,6
O'VIE BAR AND GRILL,120 N CANAL ST ,2012-09-11T00:00:00.000,6
O'VIE BAR AND GRILL,120 N CANAL ST ,2012-09-11T00:00:00.000,6
GATEWAY,30 S WACKER DR ,2012-09-12T00:00:00.000,6
STARBUCKS COFFEE #2689,175 W JACKSON BLVD ,2012-09-12T00:00:00.000,7
DUNKIN DONUTS BASKIN ROBBINS,229 W JACKSON BLVD ,2012-09-13T00:00:00.000,8
MACY'S,111 N STATE ST ,2012-09-13T00:00:00.000,8
POTBELLY SANDWICH WORKS,200 S MICHIGAN AVE ,2012-09-14T00:00:00.000,7
ZAPATISTA,1307 S WABASH AVE ,2012-09-14T00:00:00.000,4
DUNKIN DONUTS/BASKIN ROBBINS,909 W WASHINGTON BLVD ,2012-09-18T00:00:00.000,6
PRET A MANGER,211 W ADAMS ST ,2012-09-19T00:00:00.000,6
STARBUCKS COFFEE 18013,171 W RANDOLPH ST ,2012-09-20T00:00:00.000,7
POPEYES CHICKEN,17 S WABASH AVE ,2012-09-20T00:00:00.000,6
MCDONALD'S RESTAURANTS,144 S WABASH AVE ,2012-09-21T00:00:00.000,6
KHYBER PASS,233 E WACKER DR ,2012-09-24T00:00:00.000,3
MARKET THYME,200 E RANDOLPH ST ,2012-09-25T00:00:00.000,6
TAVERN AT THE PARK,130 E RANDOLPH ST ,2012-09-25T00:00:00.000,6
THE CONGRESS HOTEL,520 S MICHIGAN AVE ,2012-09-25T00:00:00.000,6
MARKET THYME,200 E RANDOLPH ST ,2012-09-25T00:00:00.000,6
DAB-QUIZNOS-SUB,128 S FRANKLIN ST ,2012-09-26T00:00:00.000,2
ELEPHANT & CASTLE PUB & RESTAURANT,185 N WABASH AVE ,2012-09-27T00:00:00.000,6
ELEPHANT & CASTLE PUB & RESTAURANT,185 N WABASH AVE ,2012-09-27T00:00:00.000,6
JEWEL FOOD  STORE # 3345,1224 S WABASH AVE ,2012-09-28T00:00:00.000,8
CAFECITO,26 E CONGRESS PKWY ,2012-10-04T00:00:00.000,7
TOKYO LUNCH BOXES & CATERING,111 E WACKER DR ,2012-10-10T00:00:00.000,6
TOPPERS PIZZA,727 S STATE ST ,2012-10-11T00:00:00.000,4
7-ELEVEN,29 E MADISON ST ,2012-10-16T00:00:00.000,8
PAZZO'S CUCINA ITALIANA,101 N WACKER DR ,2012-10-16T00:00:00.000,5
PAZZO'S CUCINA ITALIANA,101 N WACKER DR ,2012-10-16T00:00:00.000,5
PAZZO'S CUCINA ITALIANA,23 E JACKSON BLVD BLDG ,2012-10-16T00:00:00.000,5
PAZZO'S CUCINA ITALIANA,101 N WACKER DR ,2012-10-16T00:00:00.000,5
GATEWAY NEWSTAND,111 W WASHINGTON ST ,2012-10-22T00:00:00.000,8
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,2012-10-22T00:00:00.000,2
FFT AT SABW, LLC,1 S DEARBORN ST ,2012-10-25T00:00:00.000,8
FFT AT SABW, LLC,1 S DEARBORN ST ,2012-10-25T00:00:00.000,8
THE COFFEE ALLEY,1152 W TAYLOR ST ,2012-10-26T00:00:00.000,6
JIMMY JOHN'S- STATE,725 S STATE ST ,2012-10-26T00:00:00.000,6
JIMMY JOHNS,2 N RIVERSIDE PLZ ,2012-10-29T00:00:00.000,6
THE FLORENTINE,151 W ADAMS ST ,2012-10-30T00:00:00.000,8
NINE,440 W RANDOLPH ST ,2012-10-30T00:00:00.000,2
JW MARRIOTT HOTEL CHICAGO,151 W ADAMS ST ,2012-10-30T00:00:00.000,7
GATEWAY,30 S WACKER DR ,2012-11-01T00:00:00.000,6
MCDONALD'S RESTAURANTS,144 S WABASH AVE ,2012-11-02T00:00:00.000,6
POTBELLY SANDWICH WORKS LLC,1 N LA SALLE ST ,2012-11-05T00:00:00.000,7
LOBBY SHOP,1 N LA SALLE ST ,2012-11-05T00:00:00.000,8
THE LOBBY SHOP,1 N LA SALLE ST ,2012-11-05T00:00:00.000,2
MEZZA GRILLED WRAPS AND PITA, INC,2 N RIVERSIDE PLZ ,2012-11-06T00:00:00.000,7
SUBWAY,1212 S MICHIGAN AVE ,2012-11-06T00:00:00.000,8
THE WIT,201 N STATE ST ,2012-11-06T00:00:00.000,6
WALGREENS #1332,300 N MICHIGAN AVE ,2012-11-08T00:00:00.000,4
HALO ASIAN MIX,29 E ADAMS ST ,2012-11-13T00:00:00.000,3
Bacci Pizza Dearborn,409-411 S Dearborn ST ,2012-11-16T00:00:00.000,2
BENJYEHUDA,10 S LA SALLE ST ,2012-11-23T00:00:00.000,7
PANERA BREAD  # 1190,250 S WACKER DR ,2012-11-23T00:00:00.000,7
MEZZA,181 W Madison ST BLDG ,2012-11-26T00:00:00.000,6
SCAFURI BAKERY,1337 W TAYLOR ST ,2012-11-29T00:00:00.000,-4
J V ENTERPRISES INC,60 W ADAMS ST ,2012-11-30T00:00:00.000,2
Palmer House Hilton,17 E MONROE ST ,2012-12-05T00:00:00.000,8
LOCKWOOD,17 E MONROE ST ,2012-12-05T00:00:00.000,8
PITA EXPRESS,100 W RANDOLPH ST ,2012-12-06T00:00:00.000,6
GATEWAY NEWSTANDS,1 N FRANKLIN ST ,2012-12-07T00:00:00.000,8
DUNKIN DONUTS,27 W LAKE ST ,2012-12-11T00:00:00.000,8
DUNKIN DONUTS,166 W WASHINGTON ST ,2012-12-11T00:00:00.000,8
Qdoba Mexican Eats #2621,100 N LA SALLE ST ,2012-12-11T00:00:00.000,8
UMAI,730 S CLARK ST ,2012-12-13T00:00:00.000,7
UMAI,730 S CLARK ST ,2012-12-13T00:00:00.000,7
HALO ASIAN MIX,29 E ADAMS ST ,2012-12-14T00:00:00.000,3
MORGAN'S BAR AND GRILL,1325 S HALSTED ST ,2012-12-31T00:00:00.000,4
PROTEIN BAR,235 S FRANKLIN ST ,2013-01-14T00:00:00.000,7
ZAPATISTA,1307 S WABASH AVE ,2013-01-14T00:00:00.000,3
POTBELLY SANDWICH WORKS LLC,542 S Dearborn ST ,2013-01-14T00:00:00.000,6
TILTED KILT PUB & EATERY,17 N WABASH AVE ,2013-02-06T00:00:00.000,7
HOTEL MONACO,225 N WABASH AVE ,2013-02-06T00:00:00.000,5
HOTEL MONACO,225 N WABASH AVE ,2013-02-06T00:00:00.000,5
III FORKS #425,180 N FIELD BLVD ,2013-02-06T00:00:00.000,6
JERSEY MIKE'S SUBS,26 E ROOSEVELT RD FL ,2013-02-06T00:00:00.000,2
Subway Sandwiches,808 W JACKSON BLVD ,2013-02-07T00:00:00.000,5
BK MINIMART,516 W HARRISON ST ,2013-02-11T00:00:00.000,5
LA LUCE,1393 W LAKE ST ,2013-02-21T00:00:00.000,3
JUPITER COFFEE,1139 W FULTON MARKET ,2013-02-21T00:00:00.000,5
JAMBA JUICE,190 W MADISON ST ,2013-02-25T00:00:00.000,2
DUNKIN DONUTS,6 N WABASH AVE ,2013-02-26T00:00:00.000,7
Au Bon Pain,181 W Madison ST BLDG ,2013-03-05T00:00:00.000,-1
7-ELEVEN,1524 W TAYLOR ST ,2013-03-06T00:00:00.000,7
ROOK CAFE AND SMOOTHIE BAR,816 S MICHIGAN AVE ,2013-03-06T00:00:00.000,1
UNION LEAGUE CLUB OF CHICAGO,65 W JACKSON BLVD ,2013-03-06T00:00:00.000,7
I DREAM OF FALAFEL,331-333 S FRANKLIN ST ,2013-03-11T00:00:00.000,7
MAGNOLIA BAKERY,108 N STATE ST ,2013-03-19T00:00:00.000,6
623 WABASH,623 S WABASH AVE ,2013-03-22T00:00:00.000,2
J V ENTERPRISES INC,60 W ADAMS ST ,2013-03-25T00:00:00.000,1
BLACKSTONE HOTEL,636 S MICHIGAN AVE ,2013-03-25T00:00:00.000,5
FLACO'S TACOS, LLC,725 S DEARBORN ST ,2013-03-28T00:00:00.000,5
KHYBER PASS,233 E WACKER DR ,2013-04-03T00:00:00.000,2
KHYBER PASS,233 E WACKER DR ,2013-04-04T00:00:00.000,2
CARIBOU COFFEE COMPANY,55 W MONROE ST ,2013-04-09T00:00:00.000,3
MACELLO RISTORANTE,1235-1237 W LAKE ST ,2013-04-09T00:00:00.000,5
SUBWAY 28330,120 S STATE ST ,2013-04-10T00:00:00.000,7
CARLYN BERGHOFF CATERING, INC.,17 W ADAMS ST ,2013-04-10T00:00:00.000,4
KABOCHA,952 W LAKE ST ,2013-04-11T00:00:00.000,2
KABOCHA,952 W LAKE ST ,2013-04-11T00:00:00.000,2
CHICAGO YACHT CLUB,400 E MONROE DR ,2013-04-23T00:00:00.000,5
TOWN HOUSE RESTAURANT & WINE BAR,111 S WACKER DR ,2013-04-25T00:00:00.000,5
SCAFURI BAKERY,1337 W TAYLOR ST ,2013-04-29T00:00:00.000,-5
DOMINO'S PIZZA,1234 S CANAL ST ,2013-04-30T00:00:00.000,1
THE PARK GRILL,11-35 N MICHIGAN AVE ,2013-05-01T00:00:00.000,7
McDONALD'S,29 N WACKER DR ,2013-05-03T00:00:00.000,7
PARKSHORE MARKET LTD,195 N HARBOR DR ,2013-05-08T00:00:00.000,1
VAPIANO,44 S WABASH AVE ,2013-05-13T00:00:00.000,6
OYSY,888 S MICHIGAN AVE ,2013-05-13T00:00:00.000,1
VAPIANO,44 S WABASH AVE ,2013-05-13T00:00:00.000,6
ROOM 12,1152 S WABASH AVE ,2013-05-13T00:00:00.000,5
TESORI,65 E ADAMS ST ,2013-05-14T00:00:00.000,5
CHICK-FIL-A STATE & LAKE,177 N State ST ,2013-05-14T00:00:00.000,4
POPEYES LOUISIANA KITCHEN,1251 S HALSTED ST ,2013-05-17T00:00:00.000,5
THE ART INSTITUTE OF CHICAGO,112 S MICHIGAN AVE ,2013-05-21T00:00:00.000,7
FRIENDSHIP ON THE LAKE,200 N LAKEFRONT DR ,2013-05-21T00:00:00.000,3
HEAVEN ON SEVEN,111 N WABASH AVE ,2013-05-29T00:00:00.000,5
FIORELLI PIZZA,945-947 W RANDOLPH ST ,2013-05-30T00:00:00.000,2
FIORELLI PIZZA,945-947 W RANDOLPH ST ,2013-05-30T00:00:00.000,2
GOODWIN'S,333 W WACKER DR ,2013-06-06T00:00:00.000,1
LUKE'S,215 W JACKSON BLVD ,2013-06-13T00:00:00.000,5
Madison Street Cafe,70 W MADISON ST ,2013-06-14T00:00:00.000,5
NAF NAF GRILL,326 N MICHIGAN AVE ,2013-06-21T00:00:00.000,5
SALSERIA GRILL & CANTINA,233 S WACKER DR ,2013-06-24T00:00:00.000,3
SOFI LLC,616 S DEARBORN ST ,2013-06-25T00:00:00.000,6
SOFI LLC,616 S DEARBORN ST ,2013-06-25T00:00:00.000,6
DOMINO'S PIZZA,1234 S CANAL ST ,2013-06-25T00:00:00.000,1
DOMINO'S PIZZA,1234 S CANAL ST ,2013-06-25T00:00:00.000,1
DUNKIN DONUTS,220 W WASHINGTON ST ,2013-06-26T00:00:00.000,7
WALGREENS # 07179,2 E ROOSEVELT RD ,2013-06-27T00:00:00.000,5
CORNER BAKERY CAFE,444 W JACKSON BLVD ,2013-06-28T00:00:00.000,5
FLAT TOP GRILL,30 S WABASH AVE ,2013-07-02T00:00:00.000,5
OYSY,888 S MICHIGAN AVE ,2013-07-05T00:00:00.000,1
GIOCO,1312 -1314 S WABASH AVE ,2013-07-08T00:00:00.000,5
FAT EDDIE'S EMPLOYEE CAFETERIA,151 E WACKER DR ,2013-07-17T00:00:00.000,5
Chartwells @ DePaul University,1 E JACKSON BLVD ,2013-07-17T00:00:00.000,7
ABOU ANDRE LLC,60 E JACKSON AVE FL ,2013-07-18T00:00:00.000,1
STETSON'S,151 E WACKER DR ,2013-07-18T00:00:00.000,5
ERIK'S DELI,333 S State ST ,2013-07-19T00:00:00.000,5
THE FLORENTINE,151 W ADAMS ST ,2013-07-19T00:00:00.000,7
